symbol	locusID	known_TFs	predicted_TFs	kinase	chromotin	RNAbinding	coregulator	NA_binding	DNAreplication	Mito	others	Removal	Pfam_domains	go_desciption	ensembl_description																																					
ACO2	50	0	0	0	0	0	0	0	0	1	0	0	Aconitase_C;Aconitase	"4 iron, 4 sulfur cluster binding,metal ion binding,lyase activity,metabolic process,citrate metabolic process,tricarboxylic acid cycle,generation of precursor metabolites and energy,mitochondrion,iron ion binding,aconitate hydratase activity,"	"Aconitate hydratase, mitochondrial precursor (EC 4.2.1.3) (Citrate hydro-lyase) (Aconitase). [Source:Uniprot/SWISSPROT;Acc:Q99798]"																																					
ACOX1	51	0	0	0	0	0	0	0	0	1	0	1	Acyl-CoA_dh_M;ACOX	"electron donor activity,spermatogenesis,prostaglandin metabolic process,lipid metabolic process,peroxisomal membrane,peroxisome,mitochondrion,acyl-CoA oxidase activity,FAD binding,oxidoreductase activity, acting on the CH-CH group of donors,metabolic process,fatty acid beta-oxidation,fatty acid metabolic process,tRNA aminoacylation for protein translation,translation,electron transport,peroxisome,cytoplasm,ATP binding,aminoacyl-tRNA ligase activity,acyl-CoA oxidase activity,acyl-CoA dehydrogenase activity,nucleotide binding,"	"Acyl-coenzyme A oxidase 1, peroxisomal (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (AOX) (Straight-chain acyl-CoA oxidase) (SCOX). [Source:Uniprot/SWISSPROT;Acc:Q15067]"																																					
ACTA2	59	0	0	0	0	0	0	0	0	1	0	0	Actin	"cytoskeleton,cytoplasm,ATP binding,protein binding,structural molecule activity,nucleotide binding,"	"Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein). [Source:Uniprot/SWISSPROT;Acc:P62736]"																																					
ACTG1	71	0	0	0	0	0	0	0	0	1	0	0	Actin	"response to calcium ion,sarcomere organization,myofibril,actin cytoskeleton,sensory perception of sound,cell motility,cytosol,cytoplasm,soluble fraction,ATP binding,protein binding,structural constituent of cytoskeleton,nucleotide binding,"	"Actin, cytoplasmic 2 (Gamma-actin). [Source:Uniprot/SWISSPROT;Acc:P63261]"																																					
ACTL6A	86	0	0	0	1	0	0	0	0	0	0	0	Actin	NA	Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta). [Source:Uniprot/SWISSPROT;Acc:O96019]																																					
ACTN2	88	0	0	0	0	0	0	0	0	1	0	0	Spectrin;efhand_Ca_insen;efhand;CH	"FATZ 1 binding,ZASP binding,protein homotetramerization,focal adhesion formation,protein dimerization activity,dendritic spine,regulation of apoptosis,identical protein binding,pseudopodium,thyroid hormone receptor coactivator activity,filopodium,microspike biogenesis,Z disc,structural constituent of muscle,cell adhesion,muscle contraction,focal adhesion,actin filament,cytoskeleton,calcium ion binding,integrin binding,actin binding,"	Alpha-actinin-2 (Alpha actinin skeletal muscle isoform 2) (F-actin cross-linking protein). [Source:Uniprot/SWISSPROT;Acc:P35609]																																					
ACVR1	90	0	0	1	0	0	0	0	0	0	0	0	TGF_beta_GS;Pkinase;Activin_recp	NA	Activin receptor type-1 precursor (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Serine/threonine-protein kinase receptor R1) (SKR1) (Activin receptor-like kinase 2) (ALK-2) (TGF-B superfamily receptor type I) (TSR-I). [Source:Uniprot/SWISSPROT;Acc:Q04771]																																					
ACVR1B	91	0	0	1	0	0	0	0	0	0	0	0	TGF_beta_GS;Pkinase;Activin_recp	NA	Activin receptor type 1B precursor (EC 2.7.11.30) (ACTR-IB) (Serine/threonine-protein kinase receptor R2) (SKR2) (Activin receptor-like kinase 4) (ALK-4). [Source:Uniprot/SWISSPROT;Acc:P36896]																																					
ACVR2A	92	0	0	1	0	0	0	0	0	0	0	0	Pkinase;Activin_recp	NA	Activin receptor type-2A precursor (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA). [Source:Uniprot/SWISSPROT;Acc:P27037]																																					
ACVR2B	93	0	0	1	0	0	0	0	0	0	0	0	Pkinase;Activin_recp	NA	Activin receptor type-2B precursor (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB). [Source:Uniprot/SWISSPROT;Acc:Q13705]																																					
ACVRL1	94	0	0	1	0	0	0	0	0	0	0	0	TGF_beta_GS;Pkinase;Activin_recp	NA	Serine/threonine-protein kinase receptor R3 precursor (EC 2.7.11.30) (SKR3) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I). [Source:Uniprot/SWISSPROT;Acc:P37023]																																					
ADAR	103	0	0	0	0	1	0	0	0	0	0	0	dsrm;A_deamin;z-alpha	"metal ion binding,RNA-mediated gene silencing,hydrolase activity,base conversion or substitution editing,zinc ion binding,mRNA processing,cytoplasm,nucleus,double-stranded RNA adenosine deaminase activity,DNA binding,RNA processing,intracellular,adenosine deaminase activity,double-stranded RNA adenosine deaminase activity,double-stranded RNA binding,RNA binding,"	Double-stranded RNA-specific adenosine deaminase (EC 3.5.4.-) (DRADA) (136 kDa double-stranded RNA-binding protein) (P136) (K88DSRBP) (Interferon-inducible protein 4) (IFI-4 protein). [Source:Uniprot/SWISSPROT;Acc:P55265]																																					
ADARB1	104	0	0	0	0	1	0	0	0	0	0	0	dsrm;A_deamin	"metal ion binding,hydrolase activity,zinc ion binding,mRNA processing,RNA processing,intracellular,adenosine deaminase activity,double-stranded RNA binding,RNA binding,"	Double-stranded RNA-specific editase 1 (EC 3.5.-.-) (dsRNA adenosine deaminase) (RNA-editing deaminase 1) (RNA-editing enzyme 1). [Source:Uniprot/SWISSPROT;Acc:P78563]																																					
ADARB2	105	0	0	0	0	1	0	0	0	0	0	0	dsrm;A_deamin	"metal ion binding,hydrolase activity,zinc ion binding,mRNA processing,RNA processing,nucleus,intracellular,adenosine deaminase activity,single-stranded RNA binding,double-stranded RNA binding,RNA binding,"	Double-stranded RNA-specific editase B2 (EC 3.5.-.-) (dsRNA adenosine deaminase B2) (RNA-dependent adenosine deaminase 3) (RNA-editing deaminase 2) (RNA-editing enzyme 2). [Source:Uniprot/SWISSPROT;Acc:Q9NS39]																																					
ADH7	131	0	0	0	0	0	0	0	0	0	1	0	ADH_zinc_N;ADH_N	"metal ion binding,oxidoreductase activity,zinc ion binding,electron transport,ethanol oxidation,cytoplasm,retinol dehydrogenase activity,alcohol dehydrogenase activity, zinc-dependent,"	Alcohol dehydrogenase class 4 mu/sigma chain (EC 1.1.1.1) (Alcohol dehydrogenase class IV mu/sigma chain) (Retinol dehydrogenase) (Gastric alcohol dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:P40394]																																					
ADM	133	0	0	0	0	0	0	0	0	0	1	0	Adrenomedullin	"response to wounding,positive regulation of cell proliferation,circulation,excretion,female pregnancy,heart development,cell-cell signaling,signal transduction,progesterone biosynthetic process,cAMP biosynthetic process,soluble fraction,extracellular space,extracellular region,hormone activity,"	ADM precursor [Contains: Adrenomedullin (AM); Proadrenomedullin N-20 terminal peptide (ProAM-N20) (ProAM N-terminal 20 peptide) (PAMP)]. [Source:Uniprot/SWISSPROT;Acc:P35318]																																					
ADRBK1	156	0	0	1	0	0	0	0	0	0	0	0	RGS;Pkinase;PH	"transferase activity,membrane,heart development,G-protein coupled receptor protein signaling pathway,signal transduction,protein amino acid phosphorylation,cytoplasm,soluble fraction,ATP binding,protein binding,receptor activity,signal transducer activity,protein-tyrosine kinase activity,G-protein coupled receptor kinase activity,protein serine/threonine kinase activity,protein kinase activity,desensitization of G-protein coupled receptor protein signaling pathway,cardiac inotropy,nucleotide binding,"	Beta-adrenergic receptor kinase 1 (EC 2.7.11.15) (Beta-ARK-1) (G- protein coupled receptor kinase 2). [Source:Uniprot/SWISSPROT;Acc:P25098]																																					
ADRBK2	157	0	0	1	0	0	0	0	0	0	0	0	RGS;Pkinase;PH	"transferase activity,signal transduction,protein amino acid phosphorylation,ATP binding,signal transducer activity,protein-tyrosine kinase activity,G-protein coupled receptor kinase activity,protein serine/threonine kinase activity,protein kinase activity,nucleotide binding,"	Beta-adrenergic receptor kinase 2 (EC 2.7.11.15) (Beta-ARK-2) (G- protein-coupled receptor kinase 3). [Source:Uniprot/SWISSPROT;Acc:P35626]																																					
AES	166	0	0	0	0	0	1	0	0	0	0	0	TLE_N	"regulation of growth,transcription regulator activity,negative regulation of transcription,Wnt receptor signaling pathway,organ morphogenesis,multicellular organismal development,regulation of transcription from RNA polymerase II promoter,transcription,nucleus,protein binding,transcription corepressor activity,skeletal development,,"	Amino-terminal enhancer of split (Amino enhancer of split) (GRG protein) (Protein ESP1) (Gp130-associated protein GAM). [Source:Uniprot/SWISSPROT;Acc:Q08117]																																					
AGT	183	0	0	0	0	0	0	0	0	1	0	0	Serpin	"smooth muscle cell differentiation,smooth muscle cell proliferation,astrocyte activation,positive regulation of organ size,positive regulation of fatty acid biosynthetic process,negative regulation of neuron apoptosis,positive regulation of MAPKKK cascade,drinking behavior,hormone metabolic process,positive regulation of body size,type 2 angiotensin receptor binding,type 1 angiotensin receptor binding,peristalsis,extracellular matrix organization and biogenesis,integral to membrane,response to cold,negative regulation of cell proliferation,blood pressure regulation,establishment of blood-nerve barrier,female pregnancy,cell-cell signaling,cell surface receptor linked signal transduction,cell-matrix adhesion,soluble fraction,extracellular space,extracellular region,hormone activity,serine-type endopeptidase inhibitor activity,brain renin-angiotensin system,angiotensin mediated regulation of renal output,renin-angiotensin regulation of aldosterone production,renal response to blood flow during renin-angiotensin regulation of blood pressure,angiotensin mediated vasoconstriction during regulation of blood pressure,kidney development,ureteric bud branching,blood vessel development,ovarian follicle rupture,"	Angiotensinogen precursor (Serpin A8) [Contains: Angiotensin-1 (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II)]. [Source:Uniprot/SWISSPROT;Acc:P01019]																																					
NR0B1	190	1	0	0	0	1	0	0	0	0	0	0	Hormone_recep	"negative regulation of transcription, DNA-dependent,sequence-specific DNA binding,polysomal ribosome,DNA hairpin binding,adrenal gland development,negative regulator of basal transcription activity,gonad development,sex determination,steroid biosynthetic process,regulation of transcription, DNA-dependent,transcription,cytoplasm,nucleus,membrane fraction,protein binding,ligand-dependent nuclear receptor activity,RNA binding,steroid hormone receptor activity,ligand-regulated transcription factor activity,transcription factor activity,DNA binding,"	Nuclear receptor 0B1 (Nuclear receptor DAX-1) (DSS-AHC critical region on the X chromosome protein 1). [Source:Uniprot/SWISSPROT;Acc:P51843]																																					
AHR	196	1	0	0	0	0	0	0	0	0	0	0	PAS_3;PAS;HLH	"regulation of transcription,transcription regulator activity,response to xenobiotic stimulus,signal transduction,cell cycle,response to stress,apoptosis,transcription from RNA polymerase II promoter,regulation of transcription, DNA-dependent,cytoplasm,nucleus,protein binding,ligand-dependent nuclear receptor activity,signal transducer activity,transcription factor activity,"	Aryl hydrocarbon receptor precursor (Ah receptor) (AhR). [Source:Uniprot/SWISSPROT;Acc:P35869]																																					
AK1	203	0	0	0	0	0	0	0	0	1	0	1	ADK	"ATP metabolic process,nucleotide kinase activity,nucleoside-triphosphatase activity,transferase activity,kinase activity,cell cycle arrest,nucleobase, nucleoside, nucleotide and nucleic acid metabolic process,plasma membrane,cytosol,mitochondrion,cytoplasm,ATP binding,protein binding,shikimate kinase activity,adenylate kinase activity,nucleotide binding,"	Adenylate kinase isoenzyme 1 (EC 2.7.4.3) (ATP-AMP transphosphorylase) (AK1) (Myokinase). [Source:Uniprot/SWISSPROT;Acc:P00568]																																					
AK2	204	0	0	0	0	0	0	0	0	1	0	1	ADK_lid;ADK	"nucleoside kinase activity,transferase activity,kinase activity,mitochondrial inner membrane,mitochondrion,adenylate kinase activity,nucleotide binding,nucleotide kinase activity,phosphotransferase activity, phosphate group as acceptor,nucleobase, nucleoside, nucleotide and nucleic acid metabolic process,ATP binding,adenylate kinase activity,"	"Adenylate kinase isoenzyme 2, mitochondrial (EC 2.7.4.3) (ATP-AMP transphosphorylase). [Source:Uniprot/SWISSPROT;Acc:P54819]"																																					
AK3L1	205	0	0	0	0	0	0	0	0	1	0	0	ADK_lid;ADK	"nucleotide kinase activity,nucleoside-triphosphatase activity,phosphotransferase activity, phosphate group as acceptor,transferase activity,kinase activity,nucleobase, nucleoside, nucleotide and nucleic acid metabolic process,mitochondrion,GTP binding,ATP binding,shikimate kinase activity,adenylate kinase activity,nucleotide binding,"	"Adenylate kinase isoenzyme 4, mitochondrial (EC 2.7.4.3) (Adenylate kinase 3-like 1) (ATP-AMP transphosphorylase). [Source:Uniprot/SWISSPROT;Acc:P27144]"																																					
AKT1	207	0	0	1	0	0	0	0	0	0	0	0	Pkinase_C;Pkinase;PH	"insulin-like growth factor receptor signaling pathway,protein amino acid autophosphorylation,regulation of survival gene product activity,protein kinase B signaling cascade,negative regulation of apoptosis,identical protein binding,anagen,positive regulation of body size,protein catabolic process,lamellipodium,peptidyl-serine phosphorylation,transferase activity,protein ubiquitination,glucose transport,response to hormone stimulus,response to heat,carbohydrate transport,apoptotic mitochondrial changes,insulin receptor signaling pathway,germ cell development,intracellular signaling cascade,G-protein coupled receptor protein signaling pathway,inflammatory response,activated T cell apoptosis,apoptosis,nitric oxide biosynthetic process,protein amino acid phosphorylation,protein modification process,regulation of translation,glucose metabolic process,glycogen biosynthetic process,glycogen metabolic process,carbohydrate metabolic process,plasma membrane,spindle,cytoplasm,cytoplasm,nucleus,ATP binding,protein binding,sugar:hydrogen ion symporter activity,protein-tyrosine kinase activity,protein serine/threonine kinase activity,protein kinase activity,placenta development,blood vessel development,nucleotide binding,protein import into nucleus, translocation,"	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (RAC-PK-alpha) (Protein kinase B) (PKB) (C-AKT). [Source:Uniprot/SWISSPROT;Acc:P31749]																																					
ALB	213	0	0	0	0	0	0	1	0	1	0	0	Serum_albumin	"maintenance of mitochondrion localization,metal ion binding,protein complex,negative regulation of non-apoptotic programmed cell death,negative regulation of apoptosis,pyridoxal phosphate binding,hemolysis by symbiont of host red blood cells,oxygen binding,antioxidant activity,toxin binding,cellular response to starvation,drug binding,transport,extracellular space,extracellular region,protein binding,copper ion binding,fatty acid binding,DNA binding,"	Serum albumin precursor. [Source:Uniprot/SWISSPROT;Acc:P02768]																																					
ALDH2	217	0	0	0	0	0	0	0	0	1	0	0	Aldedh	"oxidoreductase activity,electron carrier activity,metabolic process,neuropeptide signaling pathway,alcohol metabolic process,carbohydrate metabolic process,mitochondrion,neuropeptide hormone activity,aldehyde dehydrogenase [NAD(P)+] activity,aldehyde dehydrogenase (NAD) activity,"	"Aldehyde dehydrogenase, mitochondrial precursor (EC 1.2.1.3) (ALDH class 2) (ALDHI) (ALDH-E2). [Source:Uniprot/SWISSPROT;Acc:P05091]"																																					
ALDH1A3	220	0	0	0	0	0	0	0	0	1	0	0	Aldedh	"olfactory pit development,embryonic eye morphogenesis,positive regulation of apoptosis,retinoic acid metabolic process,nucleus accumbens development,oxidoreductase activity,metabolic process,lipid metabolic process,alcohol metabolic process,cytoplasm,aldehyde dehydrogenase [NAD(P)+] activity,3-chloroallyl aldehyde dehydrogenase activity,optic cup morphogenesis involved in camera-type eye development,"	Aldehyde dehydrogenase 1A3 (EC 1.2.1.5) (Aldehyde dehydrogenase 6) (Retinaldehyde dehydrogenase 3) (RALDH-3). [Source:Uniprot/SWISSPROT;Acc:P47895]																																					
ALDH3B1	221	0	0	0	0	0	0	0	0	1	0	0	Aldedh	"oxidoreductase activity,metabolic process,lipid metabolic process,aldehyde metabolic process,alcohol metabolic process,aldehyde dehydrogenase [NAD(P)+] activity,3-chloroallyl aldehyde dehydrogenase activity,"	Aldehyde dehydrogenase 3B1 (EC 1.2.1.5) (Aldehyde dehydrogenase 7). [Source:Uniprot/SWISSPROT;Acc:P43353]																																					
ALDH3B2	222	0	0	0	0	0	0	0	0	1	0	0	Aldedh	"oxidoreductase activity,metabolic process,lipid metabolic process,aldehyde metabolic process,alcohol metabolic process,aldehyde dehydrogenase [NAD(P)+] activity,3-chloroallyl aldehyde dehydrogenase activity,"	Aldehyde dehydrogenase 3B2 (EC 1.2.1.5) (Aldehyde dehydrogenase 8). [Source:Uniprot/SWISSPROT;Acc:P48448]																																					
ALDOA	226	0	0	0	0	0	0	0	0	1	0	0	Glycolytic	"lyase activity,metabolic process,striated muscle contraction,glycolysis,fructose metabolic process,fructose-bisphosphate aldolase activity,"	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Muscle-type aldolase) (Lung cancer antigen NY-LU-1). [Source:Uniprot/SWISSPROT;Acc:P04075]																																					
ALDOC	230	0	0	0	0	0	0	0	0	1	0	0	Glycolytic	"lyase activity,metabolic process,glycolysis,fructose metabolic process,fructose-bisphosphate aldolase activity,"	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase). [Source:Uniprot/SWISSPROT;Acc:P09972]																																					
AKR1B1	231	0	0	0	0	0	0	0	0	1	0	0	Aldo_ket_red	"oxidoreductase activity,electron carrier activity,response to stress,carbohydrate metabolic process,cytoplasm,extracellular space,protein binding,aldehyde reductase activity,"	Aldose reductase (EC 1.1.1.21) (AR) (Aldehyde reductase). [Source:Uniprot/SWISSPROT;Acc:P15121]																																					
ANG	283	0	0	0	0	1	0	0	0	0	0	0	RnaseA	"positive regulation of protein secretion,negative regulation of smooth muscle cell proliferation,cell soma,homeostatic process,positive regulation of phosphorylation,peptide binding,activation of phospholipase A2,angiogenin-PRI complex,activation of protein kinase B,growth cone,cell differentiation,actin filament polymerization,rRNA binding,negative regulation of protein biosynthetic process,hydrolase activity,cell migration,response to hormone stimulus,rRNA transcription,heparin binding,multicellular organismal development,phospholipase C activation,cell communication,diacylglycerol biosynthetic process,nucleolus,nucleus,extracellular space,basal lamina,copper ion binding,receptor binding,ribonuclease activity,pancreatic ribonuclease activity,endonuclease activity,actin binding,DNA binding,nucleic acid binding,positive regulation of endothelial cell proliferation,placenta development,response to hypoxia,oocyte maturation,ovarian follicle development,angiogenesis,"	Angiogenin precursor (EC 3.1.27.-) (Ribonuclease 5) (RNase 5). [Source:Uniprot/SWISSPROT;Acc:P03950]																																					
SLC25A4	291	0	0	0	0	0	0	0	0	1	0	0	Mito_carr	"glutamate uptake during transmission of nerve impulse,membrane,ATP transport,ADP transport,adenine transmembrane transporter activity,mitochondrial transport,transport,generation of precursor metabolites and energy,integral to plasma membrane,mitochondrial inner membrane,mitochondrion,binding,ATP:ADP antiporter activity,transporter activity,mitochondrial genome maintenance,"	"ADP/ATP translocase 1 (Adenine nucleotide translocator 1) (ANT 1) (ADP,ATP carrier protein 1) (Solute carrier family 25 member 4) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1). [Source:Uniprot/SWISSPROT;Acc:P12235]"																																					
SLC25A5	292	0	0	0	0	0	0	0	0	1	0	0	Mito_carr	"membrane,adenine transmembrane transporter activity,mitochondrial transport,transport,integral to plasma membrane,mitochondrial inner membrane,mitochondrion,binding,transporter activity,"	"ADP/ATP translocase 2 (Adenine nucleotide translocator 2) (ANT 2) (ADP,ATP carrier protein 2) (Solute carrier family 25 member 5) (ADP,ATP carrier protein, fibroblast isoform). [Source:Uniprot/SWISSPROT;Acc:P05141]"																																					
SLC25A6	293	0	0	0	0	0	0	0	0	1	0	0	Mito_carr	"integral to membrane,membrane,apoptosis,mitochondrial transport,transport,mitochondrial inner membrane presequence translocase complex,mitochondrial inner membrane,mitochondrion,protein binding,binding,ATP:ADP antiporter activity,transporter activity,"	"ADP/ATP translocase 3 (Adenine nucleotide translocator 2) (ANT 3) (ADP,ATP carrier protein 3) (Solute carrier family 25 member 6) (ADP,ATP carrier protein, isoform T2). [Source:Uniprot/SWISSPROT;Acc:P12236]"																																					
ANXA1	301	0	0	0	0	0	0	0	0	1	0	0	Annexin	"signal transduction,protein binding,negative regulation of coagulation,arachidonic acid secretion,sarcolemma,regulation of cell proliferation,protein binding, bridging,keratinocyte differentiation,phospholipase A2 inhibitor activity,peptide cross-linking,cell surface receptor linked signal transduction,cell cycle,cytoskeleton organization and biogenesis,inflammatory response,cell motility,anti-apoptosis,lipid metabolic process,cytoplasm,calcium-dependent phospholipid binding,calcium ion binding,structural molecule activity,receptor binding,phospholipase inhibitor activity,cornified envelope,"	Annexin A1 (Annexin-1) (Annexin I) (Lipocortin I) (Calpactin II) (Chromobindin-9) (p35) (Phospholipase A2 inhibitory protein). [Source:Uniprot/SWISSPROT;Acc:P04083]																																					
ANXA2	302	0	0	0	0	0	0	0	0	1	0	1	Annexin	"negative regulation of coagulation,cytoskeletal protein binding,plasma membrane,soluble fraction,basement membrane,calcium-dependent phospholipid binding,calcium ion binding,phospholipase inhibitor activity,skeletal development,"	Annexin A2 (Annexin-2) (Annexin II) (Lipocortin II) (Calpactin I heavy chain) (Chromobindin-8) (p36) (Protein I) (Placental anticoagulant protein IV) (PAP-IV). [Source:Uniprot/SWISSPROT;Acc:P07355]																																					
ANXA3	306	0	0	0	0	0	0	0	0	1	0	0	Annexin	"negative regulation of coagulation,phospholipase A2 inhibitor activity,diphosphoinositol-polyphosphate diphosphatase activity,signal transduction,cytoplasm,calcium-dependent phospholipid binding,calcium ion binding,phospholipase inhibitor activity,"	"Annexin A3 (Annexin-3) (Annexin III) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III) (35-alpha calcimedin) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase). [Source:Uniprot/SWISSPROT;Acc:P12429]"																																					
